DATAFLOW,LAST UPDATE,freq,unit,schedule,tra_cov,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-10,1339442,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-11,1016926,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2023-12,1100159,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,CZ,2024-01,855096,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2022-11,10728184,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2022-12,10486454,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-01,9544099,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-02,9179033,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-03,11466069,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-04,14126984,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-05,15796998,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-06,16706478,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-07,18301038,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-08,18616135,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-09,17978809,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-10,17939524,
ESTAT:TTR00016(1.0),06/05/24 23:00:00,M,PAS,TOT,INTL,PAS_CRD,DE,2023-11,12186909,
